Пьяных Вероника Дмитриевна
Сосиска Максим Кириллович
Золотой Тимофей Кириллович
Кровопийца Таисия Максимовна
Торбина Ева Михайловна
Рукосуев Денис Вячеславович
Сухозад Полина Ярославовна
Добробаба Платон Дмитриевич
Холявка София Тимофеевна
Пацан Данила Ильич
Карась Андрей Артёмович
Убей-волк Евгения Степановна
Честный Павел Андреевич
Блябляс Таисия Вадимовна
Баба Елизавета Даниловна
Непей-пиво Виктория Павловна
Лютый Родион Егорович
Тараканчиков Илья Владимирович
Добрыйвечер Марк Фёдорович
Прощай Владислав Миронович
Осторожный Роман Семёнович
Вырвихвост Александра Саввична
Зануда Полина Арсентьевна
Веселая Арина Максимовна
Брехунов Павел Андреевич
Мозгоедова Дарина Тимофеевна
Хрюкин Эмиль Егорович
Жирнов Сергей Максимович
Больных Ева Давидовна
Дряхлых Андрей Фёдорович
Земляная Арина Антоновна
Книга Милана Ивановна
Забабашкин Денис Даниилович
Задников Артём Богданович
Сивокоз Елена Степановна
Ребенок Антон Яковлевич
Какалов Савелий Даниилович
Галушка Милана Ивановна
