Покрышкина Вероника Дмитриевна
Жестянкин Максим Кириллович
Ручников Тимофей Кириллович
Колесова Таисия Максимовна
Дворникова Ева Михайловна
Отверткин Денис Вячеславович
Кувалдина Полина Ярославовна
Насосный Платон Дмитриевич
Домкратова София Тимофеевна
Разводной Данила Ильич
Сварщиков Андрей Артёмович
Латунина Евгения Степановна
Омывайло Павел Андреевич
Свечная Таисия Вадимовна
Зажигалкина Елизавета Даниловна
Топливная Виктория Павловна
Ключников Родион Егорович
Сигнальный Илья Владимирович
Ремнев Марк Фёдорович
Рулевой Владислав Миронович
Педалин Роман Семёнович
Приводная Александра Саввична
Батарейкина Полина Арсентьевна
Коленчатая Арина Максимовна
Лаковый Павел Андреевич
Краскина Дарина Тимофеевна
Эмалин Эмиль Егорович
Шток Сергей Максимович
Задвижкина Ева Давидовна
Рейкин Андрей Фёдорович
Прокладкин Денис Даниилович
Маркин Артём Богданович
Крылов Антон Яковлевич
Ключной Савелий Даниилович
Накидная Милана Ивановна
Подушкин Андрей Иванович
Стеклова Злата Алексеевна
Зеркальный Владислав Миронович
Колодкин Никита Максимович
Щеткин Егор Константинович
Компрессорный Платон Дмитриевич
